1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
20839.0;11509.0;11222.0;10140.0;11094.0;9535.0;12318.0;11525.0;9564.0;9794.0;10374.0;10126.0;10400.0;9684.0;11434.0;10147.0;11250.0;10409.0;9526.0
20920.0;11641.0;11355.0;10183.0;11144.0;9655.0;12420.0;11598.0;9584.0;9830.0;10417.0;10205.0;10563.0;9755.0;11463.0;10173.0;11295.0;10562.0;9666.0
21103.0;11664.0;11380.0;10290.0;11224.0;9727.0;12615.0;11620.0;9613.0;9976.0;10437.0;10399.0;10731.0;9796.0;11531.0;10235.0;11329.0;10623.0;9703.0
21332.0;11745.0;11433.0;10319.0;11276.0;9774.0;12675.0;11645.0;9659.0;10051.0;10518.0;10526.0;10771.0;9843.0;11671.0;10338.0;11402.0;10693.0;9741.0
21632.0;11791.0;11456.0;10413.0;11329.0;9799.0;12923.0;11856.0;9734.0;10152.0;10554.0;10595.0;10820.0;9869.0;11748.0;10480.0;11538.0;10781.0;9827.0
21839.0;11881.0;11517.0;10519.0;11690.0;9832.0;12968.0;11907.0;9836.0;10217.0;10610.0;10657.0;10867.0;9936.0;11796.0;10513.0;11639.0;10814.0;9884.0
22107.0;12005.0;11699.0;10551.0;11839.0;9922.0;13086.0;12015.0;9873.0;10377.0;10644.0;10730.0;11077.0;10056.0;11861.0;10677.0;11695.0;10868.0;9943.0
22575.0;12108.0;11745.0;10629.0;12350.0;10036.0;13182.0;12043.0;9934.0;10466.0;10786.0;10751.0;11108.0;10114.0;12074.0;10801.0;11830.0;10893.0;10088.0
22607.0;12185.0;11807.0;10662.0;12426.0;10121.0;13256.0;12349.0;10058.0;10645.0;10853.0;10795.0;11149.0;10137.0;12164.0;10966.0;12004.0;11074.0;10138.0
22653.0;12220.0;11845.0;10712.0;12544.0;10196.0;13310.0;12421.0;10163.0;10671.0;10898.0;10824.0;11212.0;10299.0;12252.0;11140.0;12153.0;11137.0;10243.0
22958.0;12368.0;11922.0;10733.0;12566.0;10320.0;13387.0;12500.0;10285.0;10718.0;10950.0;10959.0;11280.0;10376.0;12338.0;11213.0;12194.0;11185.0;10312.0
23027.0;12415.0;11957.0;10829.0;12659.0;10346.0;13439.0;12577.0;10380.0;10761.0;11056.0;11056.0;11355.0;10419.0;12407.0;11279.0;12370.0;11316.0;10332.0
23101.0;12490.0;12129.0;10886.0;12900.0;10371.0;13484.0;12608.0;10436.0;10825.0;11090.0;11083.0;11422.0;10484.0;12444.0;11318.0;12412.0;11361.0;10479.0
